timestep,mean,median,mode
T1362,180.1,172.0,179
T1363,181.2,162.5,191
T1364,196.15,182.0,201
T1365,186.4,167.0,168
T1366,181.9,173.0,184
T1367,183.45,170.0,180
T1368,181.15,164.5,167
T1369,186.15,169.5,201
T1370,192.7,179.0,139
T1371,192.65,180.5,177
T1372,193.55,173.5,170
T1373,197.25,178.5,205
T1374,192.75,174.5,184
T1375,194.7,172.5,164
T1376,197.65,177.5,147
T1377,196.0,185.5,120
T1378,192.15,160.5,158
T1379,198.05,172.0,186
T1380,191.25,172.5,163
T1381,191.85,185.5,219
T1382,180.95,183.5,190
T1383,188.5,190.0,191
T1384,192.25,175.0,195
T1385,180.05,163.5,176
T1386,169.9,161.5,166
T1387,184.4,165.5,172
T1388,180.75,166.0,166
T1389,188.1,170.5,209
T1390,185.15,161.5,134
T1391,182.8,157.5,143
T1392,187.45,154.0,188
T1393,49.9,50.0,54
T1394,49.45,48.0,47
T1395,50.3,51.0,52
T1396,46.55,47.5,50
T1397,47.0,47.0,51
T1398,47.25,47.0,52
T1399,46.0,46.0,46
T1400,45.7,46.0,46
T1401,45.1,46.0,46
T1402,41.4,41.5,41
T1403,41.95,41.5,41
T1404,41.65,42.0,41
T1405,41.15,41.5,42
T1406,43.95,43.5,41
T1407,40.55,40.0,33
T1408,41.3,40.5,37
T1409,38.7,39.5,43
T1410,39.4,39.0,36
T1411,41.6,42.0,43
T1412,40.35,40.5,40
T1413,40.5,40.0,38
T1414,39.3,38.5,37
T1415,40.8,41.5,46
T1416,40.5,41.0,41
T1417,38.95,37.5,37
T1418,40.85,40.5,45
T1419,42.75,43.0,42
T1420,38.4,38.0,32
T1421,39.25,39.0,38
T1422,40.15,39.5,37
T1423,40.3,40.0,48
T1424,41.0,40.0,40
T1425,40.95,41.0,37
T1426,41.25,39.5,38
T1427,39.0,40.0,36
T1428,39.35,40.5,38
T1429,39.3,39.5,37
T1430,39.05,39.0,39
T1431,41.1,41.0,45
T1432,39.4,40.0,36
T1433,41.25,42.0,43
T1434,38.05,37.0,37
T1435,39.8,40.0,40
T1436,37.45,37.0,35
T1437,40.35,41.0,42
T1438,40.3,40.5,37
T1439,41.25,41.0,41
T1440,40.1,41.5,43
T1441,38.7,39.0,39
T1442,40.3,40.5,35
T1443,37.15,37.5,37
T1444,40.7,41.0,38
T1445,39.2,40.0,40
T1446,40.05,39.0,42
T1447,40.8,41.0,41
T1448,40.3,40.5,43
T1449,41.0,41.5,40
T1450,39.8,40.5,42
T1451,41.15,40.5,36
T1452,40.6,42.0,43
T1453,40.15,40.0,40
T1454,40.45,39.5,37
T1455,40.0,38.0,38
T1456,40.35,40.0,35
T1457,40.9,40.0,40
T1458,37.85,38.0,33
T1459,40.2,39.0,39
T1460,40.65,40.5,38
T1461,39.8,40.0,40
T1462,38.6,39.0,39
T1463,40.55,39.0,38
T1464,39.85,39.5,42
T1465,40.15,39.0,45
T1466,39.45,39.0,44
T1467,37.8,38.5,40
T1468,40.7,41.0,42
T1469,40.45,40.0,40
T1470,39.3,39.0,35
T1471,40.5,40.0,38
T1472,39.45,41.0,41
T1473,39.6,42.0,42
T1474,39.6,40.5,42
T1475,40.55,40.0,40
T1476,40.9,41.0,37
T1477,39.75,39.0,39
T1478,38.3,38.0,40
T1479,38.9,40.0,41
T1480,40.15,40.0,36
T1481,40.65,39.5,39
T1482,38.75,38.0,38
T1483,40.0,40.0,43
T1484,39.75,40.0,40
T1485,41.95,41.5,41
T1486,41.9,42.5,42
T1487,39.9,40.5,41
T1488,41.25,41.5,43
T1489,40.1,39.0,36
T1490,40.95,41.5,43
T1491,39.15,39.0,39
T1492,39.75,41.0,42
T1493,41.6,42.0,42
T1494,39.65,39.0,40
T1495,39.9,41.5,42
T1496,37.75,37.0,38
T1497,41.65,41.0,49
T1498,40.7,42.0,44
T1499,39.95,41.5,45
T1500,40.7,40.0,39
T1501,41.9,42.0,43
T1502,39.55,39.5,39
T1503,38.05,38.5,34
T1504,40.65,42.0,44
T1505,41.4,39.5,39
T1506,41.5,41.5,48
T1507,40.55,41.0,44
T1508,40.55,41.0,41
T1509,40.3,40.5,41
T1510,39.85,40.5,43
T1511,41.15,42.0,42
T1512,39.5,38.5,32
T1513,41.05,40.0,38
T1514,43.2,41.5,40
T1515,42.05,41.5,39
T1516,42.9,42.5,46
T1517,44.45,44.0,44
T1518,47.1,47.0,47
T1519,45.5,46.5,47
T1520,47.25,48.0,48
T1521,47.2,47.0,44
T1522,48.25,48.0,48
T1523,48.05,47.5,46
T1524,49.8,50.0,49
T1525,50.75,51.0,56
T1526,53.2,52.5,56
T1527,54.8,53.5,53
T1528,55.1,55.0,51
T1529,54.9,54.5,57
T1530,58.5,57.5,54
T1531,58.85,59.5,64
T1532,63.3,64.5,65
T1533,61.4,61.0,61
T1534,63.35,64.5,68
T1535,65.25,66.0,60
T1536,68.35,68.5,65
T1537,81.15,80.5,51
T1538,79.0,73.0,73
T1539,77.5,73.0,74
T1540,81.3,80.5,101
T1541,79.75,77.5,88
T1542,90.15,84.5,106
T1543,94.0,85.5,43
T1544,96.65,90.0,84
T1545,106.25,102.5,59
T1546,103.35,94.5,92
T1547,114.5,103.0,114
T1548,122.15,123.5,124
T1549,131.15,113.0,113
T1550,131.65,126.0,135
T1551,131.25,128.5,84
T1552,139.6,131.5,238
T1553,136.6,124.5,73
T1554,142.7,134.0,155
T1555,145.35,136.0,136
T1556,151.4,144.0,146
T1557,155.0,150.5,176
T1558,162.5,153.5,149
T1559,154.45,153.5,159
T1560,160.2,154.0,171
T1561,157.55,162.0,111
T1562,165.2,167.5,123
T1563,158.6,154.5,124
T1564,166.8,168.0,121
T1565,169.2,158.0,143
T1566,171.2,167.0,107
T1567,169.1,173.0,169
T1568,174.35,163.5,162
T1569,166.5,146.5,133
T1570,173.35,174.0,208
T1571,180.15,171.0,177
T1572,177.2,163.5,156
T1573,51.0,51.5,56
T1574,48.9,48.5,45
T1575,50.05,49.5,50
T1576,48.3,47.5,53
T1577,47.4,48.0,48
T1578,47.45,47.5,44
T1579,45.35,44.0,41
T1580,45.4,46.5,42
T1581,43.55,42.5,38
T1582,43.65,45.5,46
T1583,43.7,43.5,43
T1584,43.25,44.0,46
T1585,41.95,43.0,43
T1586,41.3,40.5,39
T1587,40.3,41.0,41
T1588,41.55,41.0,42
T1589,41.05,41.5,48
T1590,42.0,41.5,41
T1591,40.7,41.0,45
T1592,40.3,40.0,40
T1593,40.2,40.5,44
T1594,39.75,40.0,42
T1595,38.2,39.5,40
T1596,40.6,40.5,34
T1597,40.15,41.0,44
T1598,41.95,42.5,41
T1599,40.25,39.5,38
T1600,42.75,43.5,44
T1601,41.0,41.5,37
T1602,41.55,41.5,38
T1603,41.3,41.0,36
T1604,39.65,40.5,39
T1605,40.65,41.0,40
T1606,39.2,39.5,36
T1607,40.05,39.5,43
T1608,38.2,37.5,39
T1609,41.05,41.5,44
T1610,41.35,42.0,44
T1611,39.05,39.5,43
T1612,39.9,39.0,42
T1613,42.1,43.0,45
T1614,39.35,40.0,39
T1615,40.15,39.5,44
T1616,40.75,40.0,40
T1617,42.25,41.0,40
T1618,41.5,41.5,40
T1619,43.05,43.5,42
T1620,41.2,42.5,46
T1621,43.15,44.5,45
T1622,43.85,44.0,40
T1623,41.7,42.0,42
T1624,43.9,43.5,45
T1625,45.85,46.0,43
T1626,46.4,46.5,47
T1627,43.85,43.5,44
T1628,46.35,47.0,48
T1629,48.65,49.0,49
T1630,48.4,48.5,46
T1631,49.05,50.5,51
T1632,51.9,52.5,57
T1633,51.5,53.5,55
T1634,52.55,53.0,56
T1635,54.8,54.0,51
T1636,57.4,58.0,61
T1637,57.55,57.0,63
T1638,57.85,58.0,54
T1639,59.95,62.0,57
T1640,61.35,61.0,58
T1641,61.8,61.5,61
T1642,65.75,66.0,69
T1643,66.35,68.5,69
T1644,65.95,66.5,70
T1645,182.4,167.0,110
T1646,187.0,181.0,198
T1647,177.9,175.0,188
T1648,185.15,167.0,198
T1649,173.8,161.5,86
T1650,184.05,175.5,177
T1651,180.15,159.0,193
T1652,182.7,158.0,120
T1653,187.8,176.5,120
T1654,192.55,186.5,199
T1655,188.05,167.5,97
T1656,184.55,172.0,164
T1657,189.2,163.5,113
T1658,187.25,174.5,188
T1659,186.95,166.5,203
T1660,190.0,182.0,224
T1661,184.9,168.0,166
T1662,193.65,173.0,177
T1663,174.0,176.0,184
T1664,192.3,196.0,201
T1665,199.35,190.0,205
T1666,196.65,177.0,97
T1667,194.85,180.5,205
T1668,190.65,162.5,195
T1669,200.3,183.5,192
T1670,197.2,181.5,202
T1671,194.65,185.0,197
T1672,183.15,161.5,177
T1673,183.2,174.0,190
T1674,183.3,172.5,129
T1675,184.1,171.5,192
T1676,194.55,174.5,131
T1677,177.45,172.5,185
T1678,173.1,153.0,97
T1679,176.95,179.5,191
T1680,178.65,175.0,199
T1681,50.1,50.0,50
T1682,47.35,47.0,45
T1683,47.75,47.5,42
T1684,48.7,49.5,50
T1685,47.75,47.5,46
T1686,43.5,43.0,42
T1687,45.45,45.5,45
T1688,44.9,45.0,46
T1689,41.9,41.5,39
T1690,45.05,46.0,46
T1691,40.6,41.5,45
T1692,43.8,44.5,45
T1693,42.85,42.5,42
T1694,42.65,43.0,36
T1695,41.3,41.5,43
T1696,41.4,41.0,38
T1697,42.5,43.0,48
T1698,42.6,42.0,41
T1699,41.3,42.0,44
T1700,42.0,41.5,45
T1701,39.3,40.0,40
T1702,38.2,39.0,41
T1703,39.65,40.5,42
T1704,42.2,42.5,51
T1705,39.9,40.5,43
T1706,40.95,41.5,46
T1707,40.55,40.0,47
T1708,41.95,42.0,46
T1709,38.95,40.0,41
T1710,39.6,39.5,39
T1711,40.15,39.0,39
T1712,40.6,40.5,40
T1713,39.2,39.5,45
T1714,39.95,39.5,31
T1715,41.3,41.0,45
T1716,40.9,40.0,47
T1717,39.45,39.5,33
T1718,40.7,41.5,36
T1719,40.65,41.0,43
T1720,41.0,41.5,42
T1721,37.6,36.0,36
T1722,40.25,38.5,36
T1723,40.75,41.0,42
T1724,40.2,40.5,39
T1725,39.65,39.5,49
T1726,39.9,40.0,38
T1727,38.85,39.0,37
T1728,40.3,41.0,41
T1729,38.55,37.0,33
T1730,39.45,40.0,40
T1731,40.1,40.0,39
T1732,39.85,39.5,36
T1733,39.25,39.0,39
T1734,40.1,39.5,41
T1735,39.25,40.5,42
T1736,39.2,38.5,44
T1737,37.95,38.0,41
T1738,39.9,38.5,36
T1739,40.1,38.0,35
T1740,39.7,40.5,35
T1741,40.75,41.0,43
T1742,38.25,39.0,37
T1743,40.15,40.0,37
T1744,39.65,39.5,40
T1745,40.95,42.0,43
T1746,38.9,40.0,40
T1747,41.8,41.0,40
T1748,38.0,39.0,40
T1749,41.45,41.5,40
T1750,41.1,40.5,45
T1751,38.4,39.0,41
T1752,40.6,41.0,44
T1753,42.55,43.0,43
T1754,38.8,39.0,39
T1755,39.9,39.0,38
T1756,40.15,41.5,39
T1757,39.35,38.0,38
T1758,40.7,40.5,40
T1759,39.2,39.5,40
T1760,37.4,39.0,39
T1761,39.7,38.0,35
T1762,41.55,41.0,41
T1763,40.85,39.5,36
T1764,39.85,41.0,42
T1765,41.55,42.5,43
T1766,41.6,41.0,39
T1767,41.6,41.0,41
T1768,38.3,39.5,43
T1769,41.55,42.0,44
T1770,38.5,37.0,37
T1771,40.4,39.0,39
T1772,39.85,40.0,40
T1773,38.65,38.0,36
T1774,38.25,39.5,40
T1775,40.55,40.0,37
T1776,40.3,40.0,40
T1777,40.35,41.0,41
T1778,41.0,41.5,42
T1779,38.45,37.5,36
T1780,39.1,39.0,43
T1781,41.25,41.5,43
T1782,40.6,39.5,38
T1783,41.2,42.5,43
T1784,40.85,40.5,40
T1785,38.3,39.0,37
T1786,39.9,40.0,41
T1787,39.1,38.5,33
T1788,41.65,43.0,44
T1789,40.35,40.0,40
T1790,39.4,39.5,40
T1791,39.7,40.0,41
T1792,39.8,38.0,37
T1793,41.4,41.0,39
T1794,40.85,40.0,39
T1795,41.65,42.0,43
T1796,41.85,41.0,43
T1797,40.2,39.5,40
T1798,41.05,40.0,39
T1799,41.8,40.0,46
T1800,43.45,44.0,43
T1801,43.0,44.0,39
T1802,43.2,42.5,38
T1803,41.4,40.0,49
T1804,42.85,44.5,45
T1805,45.35,44.0,49
T1806,45.45,46.0,46
T1807,45.25,46.0,46
T1808,46.3,47.5,48
T1809,49.1,49.0,49
T1810,47.8,48.0,50
T1811,49.3,48.5,51
T1812,50.15,50.5,52
T1813,51.0,51.5,52
T1814,54.45,55.5,57
T1815,53.4,53.5,54
T1816,55.65,55.0,59
T1817,55.65,56.5,57
T1818,54.95,56.0,60
T1819,58.8,58.5,61
T1820,61.5,62.0,64
T1821,61.1,62.0,62
T1822,64.2,64.0,65
T1823,66.65,66.5,66
T1824,67.4,67.0,62
T1825,63.05,63.0,79
T1826,79.45,69.5,62
T1827,74.75,68.0,69
T1828,73.9,77.0,77
T1829,77.1,78.5,80
T1830,82.75,84.0,87
T1831,85.85,77.5,76
T1832,87.1,83.5,54
T1833,93.4,94.5,110
T1834,94.9,94.0,110
T1835,98.85,91.0,58
T1836,106.1,102.5,93
T1837,106.0,103.0,114
T1838,110.8,116.0,116
T1839,110.55,110.5,114
T1840,114.2,113.0,113
T1841,112.65,110.5,71
T1842,111.75,111.0,110
T1843,119.85,114.5,93
T1844,120.05,115.0,110
T1845,115.35,109.5,106
T1846,118.35,112.5,115
T1847,122.95,121.0,121
T1848,120.45,112.5,129
T1849,129.3,128.0,135
T1850,129.45,126.5,92
T1851,129.75,130.5,109
T1852,136.7,126.5,121
T1853,135.5,125.5,109
T1854,137.75,131.0,143
T1855,134.8,128.0,118
T1856,144.35,129.5,117
T1857,140.95,131.5,147
T1858,148.9,146.0,143
T1859,152.95,149.0,98
T1860,154.95,143.0,143
T1861,51.9,51.5,55
T1862,48.95,49.0,49
T1863,47.85,47.5,44
T1864,46.9,48.0,48
T1865,45.6,45.5,45
T1866,45.8,47.0,49
T1867,46.3,45.5,44
T1868,45.4,47.0,47
T1869,44.25,44.0,39
T1870,42.75,42.5,41
T1871,43.6,43.5,43
T1872,42.65,41.0,40
T1873,40.45,41.0,43
T1874,40.65,41.0,42
T1875,40.8,42.0,42
T1876,43.6,44.5,46
T1877,39.0,38.5,43
T1878,41.95,43.5,38
T1879,39.65,38.5,36
T1880,39.95,40.0,40
T1881,42.1,42.0,36
T1882,39.7,39.5,36
T1883,41.0,41.0,43
T1884,39.05,38.5,38
T1885,38.8,38.5,38
T1886,41.0,41.0,47
T1887,40.45,42.0,46
T1888,42.1,43.0,44
T1889,41.05,41.5,44
T1890,38.35,39.0,42
T1891,41.15,41.5,39
T1892,39.35,38.5,43
T1893,40.85,40.5,43
T1894,37.95,38.0,38
T1895,39.95,40.0,41
T1896,44.35,43.0,43
T1897,42.0,43.0,38
T1898,42.1,41.0,37
T1899,39.3,39.0,39
T1900,38.95,39.0,34
T1901,41.15,40.5,39
T1902,40.9,42.0,34
T1903,39.45,40.0,45
T1904,42.75,43.0,45
T1905,42.7,43.0,43
T1906,40.3,40.0,42
T1907,41.65,41.0,46
T1908,42.8,44.5,48
T1909,42.55,43.0,39
T1910,42.65,43.0,43
T1911,41.95,41.5,39
T1912,42.05,42.0,42
T1913,41.8,42.5,47
T1914,44.35,44.5,45
T1915,45.55,45.5,42
T1916,47.65,47.0,51
T1917,46.1,46.0,46
T1918,48.2,48.0,48
T1919,50.7,50.5,50
T1920,50.25,51.0,54
T1921,52.25,51.0,48
T1922,54.85,54.0,50
T1923,55.6,55.5,59
T1924,55.85,57.0,58
T1925,55.05,54.0,54
T1926,59.35,59.5,60
T1927,59.05,60.0,61
T1928,61.65,62.5,68
T1929,61.55,62.0,64
T1930,64.15,63.5,55
T1931,63.3,63.5,64
T1932,69.85,70.0,69
T1933,155.5,136.5,166
T1934,153.35,135.5,177
T1935,153.3,139.5,151
T1936,156.8,142.5,171
T1937,165.4,153.0,114
T1938,161.45,145.5,128
T1939,153.55,143.5,148
T1940,146.3,138.0,161
T1941,150.9,149.5,149
T1942,160.55,137.5,87
T1943,156.45,146.0,142
T1944,166.65,150.0,146
T1945,158.55,140.0,241
T1946,163.55,154.0,90
T1947,156.95,153.5,159
T1948,159.25,145.5,161
T1949,163.7,147.0,141
T1950,168.3,145.5,236
T1951,159.25,151.5,143
T1952,161.0,154.5,162
T1953,164.9,153.5,141
T1954,163.45,156.0,143
T1955,159.0,139.5,169
T1956,162.8,152.0,152
T1957,156.65,142.5,136
T1958,155.25,130.0,127
T1959,172.7,161.5,165
T1960,167.25,161.0,164
T1961,161.55,143.5,142
T1962,162.35,139.0,136
T1963,166.4,151.0,155
T1964,159.35,149.5,146
T1965,152.3,140.5,110
T1966,164.7,146.5,145
T1967,159.2,156.5,155
T1968,153.7,145.0,88
T1969,51.4,52.0,48
T1970,47.55,47.0,50
T1971,49.6,49.5,50
T1972,48.3,48.0,47
T1973,47.85,47.0,45
T1974,44.75,43.5,41
T1975,44.95,45.0,48
T1976,44.95,45.0,45
T1977,45.0,44.0,44
T1978,44.35,44.5,45
T1979,44.35,43.5,43
T1980,42.4,43.0,44
T1981,42.75,42.5,47
T1982,42.95,43.0,43
T1983,43.95,43.5,41
T1984,41.5,42.5,45
T1985,40.45,41.0,42
T1986,41.4,41.5,35
T1987,40.75,41.0,43
T1988,40.75,40.5,46
T1989,40.55,39.0,37
T1990,41.85,42.5,44
T1991,39.95,40.0,40
T1992,38.05,38.5,41
T1993,41.15,42.0,39
T1994,41.7,42.0,44
T1995,41.45,42.0,38
T1996,40.5,40.0,43
T1997,42.95,43.0,45
T1998,39.8,39.5,40
T1999,39.85,39.5,38
T2000,39.1,39.5,38
T2001,40.15,40.0,37
T2002,40.4,41.5,38
T2003,39.65,39.5,35
T2004,40.85,41.0,46
T2005,41.8,41.5,45
T2006,39.75,40.0,45
T2007,40.1,40.5,44
T2008,38.5,38.0,41
T2009,40.4,41.0,41
T2010,39.8,40.0,39
T2011,41.2,40.5,39
T2012,38.45,39.0,39
T2013,38.05,38.5,39
T2014,39.3,38.0,34
T2015,40.95,40.5,40
T2016,40.9,40.5,39
